1	0	0	Hit	Ship_is_there	1
1	0	1	Hit	Ship_is_there	1
1	2	2	Miss	There_are_no_ship	1
1	2	0	Hit	Ship_is_there	1
1	10	4	Wrong_position	Outrange	0
1	-1	4	Wrong_position	Outrange	0
1	0	10	Wrong_position	Outrange	0
1	2	-1	Wrong_position	Outrange	0
1	0	0	Hit	Ship_isn't_sinked	1
1	1	0	Destroyer_Destroyed	Destroyer_is_sinked	1
1	1	0	Miss	Ship_is_sinked	1
1	5	2	Miss	There_are_no_ship	1
1	4	6	Miss	There_are_no_ship	1
1	0	2	Hit	Ship_is_there	1
1	0	3	Hit	Ship_is_there	1
1	0	4	Aircraft_Destroyed	Aircraft_is_sinked	1
